Aircraft Quantity,wMOG capacity,Processing time,Steps to completion,Simulation time (sec),Total flight distance,Total Lateness,Total waiting to process steps,Missed Deliveries,Score
1,10,135,1440,0.2609,1.318418573592868,3517.168141592919,4,90,923.0004672366115
2,10,135,1440,0.2642,2.7260534511775534,3517.168141592919,10,90,923.0019321814827
3,10,135,1440,0.2764,4.120575730518722,3517.168141592919,16,90,923.0043808936255
4,10,135,1440,0.2748,4.862050220925506,3517.168141592919,18,90,923.006892281148
5,10,135,1440,0.2807,5.530449188312758,3517.168141592919,20,90,923.0097997266967
6,10,135,1440,0.2820,6.929432891001925,3517.168141592919,25,90,923.0147344013874
7,10,135,1440,0.2835,8.28300310466913,3517.168141592919,30,90,923.0205479933808
8,10,135,1440,0.2876,9.110919980523338,3517.168141592919,34,90,923.0258306760189
9,10,135,1440,0.3150,10.443486573136747,4089.2477876106177,38,89,914.9402419188825
10,10,135,1440,0.3070,11.668549990859965,4089.2477876106177,40,89,914.9482845271192
