Aircraft Quantity,wMOG capacity,Processing time,Steps to completion,Simulation time (sec),Total flight distance,Total Lateness,Total waiting to process steps,Missed Deliveries,Score
30,0,135,1440,0.4609,5.4812555291730005,3517.168141592919,39254,90,923.0582753454319
30,1,135,1440,0.4539,25.414525518842744,3517.168141592919,27042,90,923.2702009139538
30,2,135,1440,0.4692,29.99193179383998,4523.123893805309,21046,88,906.6720525996378
30,3,135,1440,0.4612,35.47526035922272,4413.707964601769,15123,89,916.3656302210632
30,4,135,1440,0.4787,40.22121849847679,5696.999999999999,10325,87,900.6937281855302
30,5,135,1440,0.4758,40.50418357308073,6757.442477876105,8038,85,884.2315448594085
30,6,135,1440,0.4647,40.563196900658454,6493.831858407079,5575,85,883.3534702095321
30,7,135,1440,0.4687,40.65572051019713,6353.831858407079,3809,85,882.8877872308686
30,8,135,1440,0.5083,40.603303229682254,7694.451327433629,2110,82,857.3559615068018
30,9,135,1440,0.5327,40.71801266573209,7467.982300884955,1359,82,856.602284313832
30,10,135,1440,0.4785,40.72459930923561,6898.309734513275,836,83,864.7034457868151
30,11,135,1440,0.4856,40.58306777353436,7539.707964601771,499,82,856.8399351590257
30,12,135,1440,0.5508,40.58306777353436,7066.7522123893805,365,83,865.2634159849844
30,13,135,1440,0.4858,40.58306777353436,6591.619469026548,249,84,873.6796401737749
30,14,135,1440,0.4744,40.58306777353436,6568.619469026548,147,84,873.6029735071082
30,15,135,1440,0.5015,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,16,135,1440,0.5204,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,17,135,1440,0.5718,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,18,135,1440,0.5321,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,19,135,1440,0.4952,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,20,135,1440,0.5166,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,21,135,1440,0.5008,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,22,135,1440,0.4885,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,23,135,1440,0.4868,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,24,135,1440,0.5134,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,25,135,1440,0.4993,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,26,135,1440,0.4938,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,27,135,1440,0.4967,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,28,135,1440,0.5189,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,29,135,1440,0.4979,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,30,135,1440,0.4903,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,31,135,1440,0.5014,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,32,135,1440,0.5250,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,33,135,1440,0.5469,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,34,135,1440,0.5242,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,35,135,1440,0.4997,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,36,135,1440,0.5186,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,37,135,1440,0.5284,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,38,135,1440,0.5232,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,39,135,1440,0.5380,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,40,135,1440,0.6136,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,41,135,1440,0.5993,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,42,135,1440,0.5790,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,43,135,1440,0.5996,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,44,135,1440,0.6101,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,45,135,1440,0.5863,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,46,135,1440,0.5728,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,47,135,1440,0.5497,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,48,135,1440,0.5628,40.58306777353436,6568.619469026548,133,84,873.6029735071082
30,49,135,1440,0.5565,40.58306777353436,6568.619469026548,133,84,873.6029735071082
