Aircraft Quantity,wMOG capacity,Processing time,Steps to completion,Simulation time (sec),Total flight distance,Total Lateness,Total waiting to process steps,Missed Deliveries,Score
30,10,0,1288,0.6701,150.93153866665287,147.82300884955754,529,0,2.0974099406884923
30,10,10,1374,0.7497,150.27059697574464,722.8495575221237,525,0,4.310377019049788
30,10,20,1440,0.7787,150.41951161657548,3572.159292035396,514,0,16.670469875461084
30,10,30,1440,0.7475,147.16594417372164,10342.486725663714,495,0,43.853175561431435
30,10,40,1440,0.6883,142.62223712869843,17548.999999999996,551,0,70.09883268823157
30,10,50,1440,0.5861,119.41890826866613,20677.61946902655,406,16,241.46180080559782
30,10,60,1440,0.6227,87.41520829310832,17042.292035398223,299,41,479.0131230644455
30,10,70,1440,0.5749,75.47806036920409,16575.663716814153,323,48,547.3307825482354
30,10,80,1440,0.5756,57.19756446349092,11853.026548672562,396,66,711.3943049688738
30,10,90,1440,0.5708,52.96600934369825,10900.831858407077,473,70,748.1753338264712
30,10,100,1440,0.5955,51.58555377005723,11829.415929203537,391,70,751.2559374021616
30,10,110,1440,0.5313,44.96897683214716,8312.247787610619,469,79,829.4616977965912
30,10,120,1440,0.5280,42.08704744255903,7662.557522123893,629,81,847.2654236218551
30,10,130,1440,0.5242,40.65336946245779,7827.274336283185,763,81,847.7992371613676
30,10,140,1440,0.5307,40.698898482391215,7019.672566371682,871,83,865.1077153148781
30,10,150,1440,0.5178,40.625489056193416,6622.690265486725,919,84,873.7836605078346
30,10,160,1440,0.5153,39.06481991947839,5669.345132743362,1051,86,890.5892507526142
30,10,170,1440,0.4971,39.078973250795094,7599.33628318584,1098,83,867.0227050621207
30,10,180,1440,0.5575,39.198681724546915,6454.159292035399,1138,85,883.2067211356704
30,10,190,1440,0.5786,39.053740834493375,8364.230088495577,1168,82,859.5720828150457
30,10,200,1440,0.5974,38.87637794830172,8809.407079646018,1260,82,861.05412044079
30,10,210,1440,0.4968,39.04760456339423,6849.026548672567,1080,85,884.5213391096611
30,10,220,1440,0.4963,39.013426175059095,7029.026548672567,1315,85,885.1209757335375
30,10,230,1440,0.4882,38.87983721272408,6228.893805309733,816,86,892.4524463043748
30,10,240,1440,0.4821,38.745673326722795,6103.690265486725,688,86,892.033674774566
30,10,250,1440,0.5464,38.76436690401882,6860.159292035397,880,85,884.5554369418592
30,10,260,1440,0.5743,38.68343599106227,6343.690265486725,674,86,892.8330130826936
30,10,270,1440,0.5189,38.67389009458912,7185.159292035397,992,85,885.6378083482589
30,10,280,1440,0.5065,37.78338622245743,7343.159292035397,1067,85,886.1550073992523
30,10,290,1440,0.5305,37.03823234550998,7574.159292035397,1355,85,886.9170851085751
30,10,300,1440,0.5537,37.03823234550998,7661.159292035399,1489,85,887.207085108575
30,10,310,1440,0.5654,37.165709520144496,6943.690265486725,1236,86,894.8168769923594
30,10,320,1440,0.5476,37.165709520144496,7063.690265486725,1367,86,895.2168769923594
30,10,330,1440,0.5037,37.059324655124996,7183.690265486725,1481,86,895.6157459349356
30,10,340,1440,0.5367,36.37070343083427,6308.66371681416,1892,87,902.691669523118
30,10,350,1440,0.5694,35.71939748703064,6398.66371681416,1912,87,902.9847450003231
30,10,360,1440,0.5739,33.21333542298945,5447.123893805309,1379,88,909.7863017617623
30,10,370,1440,0.5460,33.21113314786014,5507.123893805309,1078,88,909.9862783477208
30,10,380,1440,0.5723,33.21113314786014,4488.327433628318,1135,89,916.5902901471309
30,10,390,1440,0.5294,32.59860143899853,4518.327433628318,1178,89,916.6837778623575
30,10,400,1440,0.5347,32.573973770168806,4548.327433628318,1221,89,916.7835160271081
30,10,410,1440,0.5501,32.573973770168806,4578.327433628318,1278,89,916.883516027108
30,10,420,1440,0.5822,32.573973770168806,4608.327433628318,1334,89,916.9835160271081
30,10,430,1440,0.5401,32.573973770168806,4638.327433628318,1394,89,917.0835160271081
30,10,440,1440,0.5306,32.66529724782997,3517.168141592919,816,90,923.3472893154897
30,10,450,1440,0.5444,31.41315423276363,3517.168141592919,853,90,923.3339768423994
30,10,460,1440,0.5783,32.01060416926867,3517.168141592919,681,90,923.3403287815204
30,10,470,1440,0.5558,30.57881428598204,3517.168141592919,699,90,923.3251063476108
30,10,480,1440,0.4778,28.686038421151977,3517.168141592919,395,90,923.3049828254067
30,10,490,1440,0.4803,29.36754998678275,3517.168141592919,158,90,923.3122284868599
