Aircraft Quantity,wMOG capacity,Processing time,Route ratio,Poisson lambda,Min Duration,Max Duration,Steps to completion,Simulation time (sec),Total flight distance,Total Lateness,Total waiting to process steps,Total waiting for route steps,Missed Deliveries,Score
30,10,135,2,0.0,5,30,1440,0.3784,40.72459930923561,6898.309734513275,836,0,83,864.7034457868151
30,10,135,2,0.02,5,30,1440,0.3774,40.72459930923561,6901.309734513275,836,3,83,864.7134457868151
30,10,135,2,0.04,5,30,1440,0.3791,40.72459930923561,6898.309734513275,836,3,83,864.7034457868151
30,10,135,2,0.06,5,30,1440,0.3798,40.59098586350194,6898.309734513275,834,0,83,864.7020252418937
30,10,135,2,0.08,5,30,1440,0.3848,40.82102918831278,6956.778761061946,854,0,83,864.8993677604667
30,10,135,2,0.1,5,30,1440,0.3840,40.6507120689358,6898.309734513275,835,0,83,864.7026602360542
30,10,135,2,0.12,5,30,1440,0.3810,41.36173860582027,6215.566371681415,1036,33,84,872.4344084839009
30,10,135,2,0.14,5,30,1440,0.3805,41.58604971992118,6225.566371681415,1037,33,84,872.4701266372065
30,10,135,2,0.16,5,30,1440,0.3812,40.47875166330933,6453.566371681415,1000,11,84,873.2183541196872
30,10,135,2,0.18,5,30,1440,0.3779,41.80512999574265,6453.876106194689,1012,31,84,873.2334882925848
30,10,135,2,0.2,5,30,1440,0.3799,40.42727681093159,6016.247787610618,1556,65,85,881.7600782382907
30,10,135,2,0.22,5,30,1440,0.3808,39.20505883067294,5585.725663716813,1444,109,86,890.3120101744146
30,10,135,2,0.24,5,30,1440,0.3826,40.64598999745211,6990.3893805309735,864,45,83,865.009542185557
30,10,135,2,0.26,5,30,1440,0.3798,39.511326296958806,6127.734513274335,631,40,85,882.1219624991298
30,10,135,2,0.28,5,30,1440,0.3837,40.498462253963275,6459.380530973452,818,45,84,873.2379442087578
30,10,135,2,0.3,5,30,1440,0.3809,40.40493369672697,8513.9203539823,806,48,80,840.0854159130968
30,10,135,2,0.32,5,30,1440,0.3841,40.632075699696934,6361.814159292036,821,39,84,872.9141435147411
30,10,135,2,0.34,5,30,1440,0.3851,40.65479327937703,6904.230088495576,800,19,83,864.7224381397428
30,10,135,2,0.36,5,30,1440,0.3793,40.540360130555165,6487.999999999999,928,81,84,873.3337878866489
30,10,135,2,0.38,5,30,1440,0.3796,40.7349575149448,5116.106194690264,912,112,87,898.7628774466051
30,10,135,2,0.4,5,30,1440,0.3809,40.523383744962715,5117.106194690264,1044,95,87,898.7639613802409
30,10,135,2,0.42,5,30,1440,0.3833,40.80152812677638,5094.831858407078,926,61,87,898.6926707545147
30,10,135,2,0.44,5,30,1440,0.3833,40.661070274645006,5119.106194690264,939,58,87,898.7720918958443
30,10,135,2,0.46,5,30,1440,0.3820,40.37317584330383,6001.610619469025,869,109,85,881.7107124897875
30,10,135,2,0.48,5,30,1440,0.3844,40.19298879652098,5586.061946902654,670,182,86,890.323634544036
30,10,135,2,0.5,5,30,1440,0.3792,41.81272349597836,6296.415929203539,1222,160,84,872.7087017681533
30,10,135,2,0.52,5,30,1440,0.3772,41.937701747707855,5773.734513274335,1388,104,85,880.967759119409
30,10,135,2,0.54,5,30,1440,0.3796,42.236609102040575,5322.575221238937,810,95,86,889.4670727212684
30,10,135,2,0.56,5,30,1440,0.3814,40.58299906992769,6470.380530973452,821,29,84,873.2755096498249
30,10,135,2,0.58,5,30,1440,0.3855,40.788444533892296,7451.725663716815,896,100,82,856.5488443373753
30,10,135,2,0.6,5,30,1440,0.3888,41.8042747912967,5789.734513274335,817,107,85,881.0196738905292
30,10,135,2,0.62,5,30,1440,0.3858,39.191891920656104,8354.345132743361,1354,142,81,849.540601750524
30,10,135,2,0.64,5,30,1440,0.3996,42.98688753324483,6848.50442477876,825,234,83,864.5614801733981
30,10,135,2,0.66,5,30,1440,0.3862,40.89434791073495,5888.787610619468,435,172,85,881.3401767654119
30,10,135,2,0.68,5,30,1440,0.3842,40.401144287419505,8096.353982300884,1206,191,81,848.6934877194349
30,10,135,2,0.7000000000000001,5,30,1440,0.3783,40.6095580825684,7644.424778761061,1220,156,82,857.1892728445999
30,10,135,2,0.72,5,30,1440,0.3862,40.713070437142655,5847.831858407079,624,175,85,881.2017302943606
30,10,135,2,0.74,5,30,1440,0.3858,39.26172193228362,6612.097345132744,1463,93,84,873.7338515404701
30,10,135,2,0.76,5,30,1440,0.3828,39.36938594215705,5671.035398230087,825,242,86,890.5981230411016
30,10,135,2,0.78,5,30,1440,0.3885,39.14654257179722,5478.265486725663,1113,175,86,889.9531874541344
30,10,135,2,0.8,5,30,1440,0.3857,39.19125641802618,5612.548672566371,1115,273,86,890.4012734600949
30,10,135,2,0.8200000000000001,5,30,1440,0.4108,42.63030958131706,7512.62831858407,619,162,82,856.7714354379892
30,10,135,2,0.84,5,30,1440,0.3814,39.530486810296836,5083.876106194689,800,169,87,898.642638185343
30,10,135,2,0.86,5,30,1440,0.3867,41.84245791893411,6683.929203539822,692,172,83,864.0007288115966
30,10,135,2,0.88,5,30,1440,0.3859,40.419545571227296,5936.221238938052,1044,179,85,881.4932408794313
30,10,135,2,0.9,5,30,1440,0.3878,39.10102185652833,5563.21238938053,904,204,86,890.2358598313949
30,10,135,2,0.92,5,30,1440,0.3953,39.365237176169366,5924.044247787609,1158,199,85,881.441441764312
30,10,135,2,0.9400000000000001,5,30,1440,0.3901,38.98641657045835,4558.716814159291,1192,155,88,906.8863227924285
30,10,135,2,0.96,5,30,1440,0.3790,41.473797224011065,6808.079646017698,898,205,83,864.4106441110448
30,10,135,2,0.98,5,30,1440,0.3785,39.55547576189763,7647.150442477875,1727,175,82,857.1871516492715
