Aircraft Quantity,wMOG capacity,Processing time,Route ratio,Poisson lambda,Min Duration,Max Duration,Steps to completion,Simulation time (sec),Total flight distance,Total Lateness,Total waiting to process steps,Total waiting for route steps,Missed Deliveries,Score
30,10,135,2,0.98,5,6,1440,0.3826,39.20282525648457,6028.371681415928,1221,8,85,881.787473153273
30,10,135,2,0.98,7,10,1440,0.3862,40.60382752125493,7249.62831858407,1245,43,82,855.8732237181075
30,10,135,2,0.98,9,14,1440,0.3846,39.1982544936634,5554.2654867256615,1205,102,86,890.2070705757588
30,10,135,2,0.98,11,18,1440,0.3792,42.98918987414546,7912.592920353983,780,161,81,848.1084663032312
30,10,135,2,0.98,13,22,1440,0.3814,40.77378529548187,6519.902654867256,1188,234,84,873.4426117878334
30,10,135,2,0.98,15,26,1440,0.3846,40.805937111234655,6835.0353982300885,803,211,83,864.4933960958175
30,10,135,2,0.98,17,30,1440,0.3836,41.8304451808784,6890.265486725663,1039,303,83,864.6883887057729
30,10,135,2,0.98,19,34,1440,0.3830,41.66828478686656,5848.716814159291,723,354,85,881.2148357482434
30,10,135,2,0.98,21,38,1440,0.3821,40.97606944239324,5561.061946902654,1253,455,86,890.2486267293539
30,10,135,2,0.98,23,42,1440,0.3944,41.972674836937415,5398.345132743362,634,578,86,889.7168330094918
30,10,135,2,0.98,25,46,1440,0.4014,42.33046738706955,5470.115044247786,693,648,86,889.959870009239
30,10,135,2,0.98,27,50,1440,0.3835,41.48001544502918,5929.300884955751,500,631,85,881.481447684751
30,10,135,2,0.98,29,54,1440,0.3922,40.9714476349103,5555.752212389379,647,784,86,890.230878476402
30,10,135,2,0.98,31,58,1440,0.3837,40.38606248401094,6690.3893805309735,1517,887,84,874.006778700886
30,10,135,2,0.98,33,62,1440,0.3943,40.71365283156682,5617.017699115043,1546,833,86,890.4323559552597
30,10,135,2,0.98,35,66,1440,0.3836,41.507208572976225,6911.646017699114,486,1055,83,864.7562205711347
30,10,135,2,0.98,37,70,1440,0.3839,39.49519773659515,6657.539823008849,760,1067,84,873.8878087234028
30,10,135,2,0.98,39,74,1440,0.3809,40.801066542491,7120.309734513275,535,1056,83,865.4442587674193
30,10,135,2,0.98,41,78,1440,0.3830,41.85494564939208,6403.097345132744,1081,1171,84,873.0647553833504
30,10,135,2,0.98,43,82,1440,0.3875,40.941376131535485,6625.849557522123,424,1261,84,873.7975499141003
30,10,135,2,0.98,45,86,1440,0.3877,40.47450316825612,6525.849557522123,736,1235,84,873.4592529035468
30,10,135,2,0.98,47,90,1440,0.3875,43.12538796802792,4815.902654867255,538,1663,87,897.7876134425331
30,10,135,2,0.98,49,94,1440,0.3851,39.14115929655332,5694.858407079645,629,1898,86,890.6751066216709
30,10,135,2,0.98,51,98,1440,0.3820,39.868390705368796,5579.752212389379,496,1775,86,890.2991510494908
30,10,135,2,0.98,53,102,1440,0.3893,39.56383340116919,5651.371681415928,884,1781,86,890.5346446354071
30,10,135,2,0.98,55,106,1440,0.3870,40.42115177259934,5918.814159292034,374,1838,85,881.4352343573446
30,10,135,2,0.98,57,110,1440,0.3859,40.52029778072182,4999.823008849556,410,2385,87,898.3729846182341
30,10,135,2,0.98,59,114,1440,0.3864,41.018766032220874,4881.415929203539,245,2311,87,897.9835939432132
30,10,135,2,0.98,61,118,1440,0.3885,40.121960068610406,4615.460176991149,379,2488,88,907.0875401512296
30,10,135,2,0.98,63,122,1440,0.3854,39.812049674716434,5103.415929203539,377,2387,87,898.7107644350472
30,10,135,2,0.98,65,126,1440,0.3867,42.027806159149144,4376.460176991151,149,3047,88,906.3111359661559
30,10,135,2,0.98,67,130,1440,0.3842,39.101303224217936,5102.415929203539,237,2833,87,898.6998746222363
30,10,135,2,0.98,69,134,1440,0.3847,38.77965401984543,5693.575221238937,268,2898,86,890.6669859013507
30,10,135,2,0.98,71,138,1440,0.3825,41.71876936833449,5393.548672566371,147,3167,86,889.6981453491135
30,10,135,2,0.98,73,142,1440,0.3840,41.437075458796016,5510.035398230087,408,3064,86,890.0834395350789
30,10,135,2,0.98,75,146,1440,0.3812,39.80946106557295,5091.442477876105,171,3310,87,898.6708254091739
30,10,135,2,0.98,77,150,1440,0.3836,41.161859009201116,5569.884955752211,365,4098,86,890.2800120273153
30,10,135,2,0.98,79,154,1440,0.3830,39.44437607082626,5047.592920353981,426,3170,87,898.520778724577
30,10,135,2,0.98,81,158,1440,0.3879,41.82418982539999,5106.929203539822,131,3614,87,898.7438679231033
30,10,135,2,0.98,83,162,1440,0.3844,42.44550479025137,6180.123893805309,448,3395,85,882.327789223488
30,10,135,2,0.98,85,166,1440,0.3853,38.27852574589333,5066.999999999999,164,2834,87,898.5730739593914
30,10,135,2,0.98,87,170,1440,0.3800,40.57022125121202,4507.070796460176,225,4448,88,906.7310080175237
30,10,135,2,0.98,89,174,1440,0.3858,39.237917985527965,5025.33628318584,172,4224,87,898.444394923006
